,Nama Akun,Film,Polarity Score
0,AnakNonton,3 Days to Kill,2.840909090909091
1,AnakNonton,Posesif,3.666666666666667
2,AnakNonton,Real Steel,3.375
3,AnakNonton,Rise,2.6860795454545454
4,AnakNonton,Safe House,3.5
5,AnakNonton,Paranormal Activity,3.125
6,AnakNonton,Seventh Son,2.840909090909091
7,AnakNonton,Sherlock Holmes,1.5
8,AnakNonton,Spider-Man: Into the Spider-Verse,3.75
9,AnakNonton,Star Trek,4.0
10,AnakNonton,Tanda Tanya,3.25
11,AnakNonton,The Conjuring 2,2.5
12,AnakNonton,The Edge of Seventeen,3.125
13,AnakNonton,The Monkey King,2.375
14,AnakNonton,Seasons,2.826265495867769
15,AnakNonton,The Smurfs 2,2.6553030303030303
16,AnakNonton,The Smurfs,3.2954545454545454
17,AnakNonton,Young Adult,2.75
18,AnakNonton,What If,2.5
19,AnakNonton,Village,2.396763392857143
20,AnakNonton,Twilight,2.791666666666667
21,AnakNonton,Turbo,2.875
22,AnakNonton,War Dogs,2.5
23,AnakNonton,Triple 9,2.5
24,AnakNonton,Transcendence,2.840909090909091
25,AnakNonton,The Space Between Us,2.5
26,AnakNonton,The Social Network,3.1666666666666665
27,AnakNonton,Troll,2.7875
28,AnakNonton,Pinocchio,2.75
29,AnakNonton,Cash,3.125
30,AnakNonton,Spider-Man 3,3.4204545454545454
31,AnakNonton,ParaNorman,4.5
32,AnakNonton,65,2.890151515151515
33,AnakNonton,AKA,3.00625
34,AnakNonton,Avengers: Infinity War,2.96875
35,AnakNonton,Ballerina,2.65625
36,AnakNonton,Snowden,3.25
37,AnakNonton,Blue Valentine,1.770833333333333
38,AnakNonton,Captain Fantastic,3.65625
39,AnakNonton,Cek Toko Sebelah 2,3.333333333333333
40,AnakNonton,Cloudy with a Chance of Meatballs 2,2.840909090909091
41,AnakNonton,Drive,5.0
42,AnakNonton,Final Destination 3,2.5
43,AnakNonton,Galih dan Ratna,3.375
44,AnakNonton,Ghost Rider,2.5
45,AnakNonton,Black Panther,2.083333333333333
46,AnakNonton,Paradise,2.71875
47,AnakNonton,Gita Cinta dari SMA,3.020833333333333
48,AnakNonton,Headshot,3.75
49,AnakNonton,Layar,2.781590194090194
50,AnakNonton,How to Train Your Dragon 2,2.5
51,AnakNonton,Ip Man,2.6704545454545454
52,AnakNonton,Jupiter Ascending,2.840909090909091
53,AnakNonton,Midnight Special,2.738095238095238
54,AnakNonton,Hunger,2.9925213675213675
55,AnakNonton,Like & Share,3.5
56,AnakNonton,Maestro,3.2916666666666665
57,AnakNonton,Moonlight,3.125
58,AnakNonton,Mr. Peabody & Sherman,4.625
59,AnakNonton,Leo,2.662878787878788
60,BFI,Paradise,2.8566800144300144
61,BFI,Woman of the Hour,5.0
62,BFI,The Perfect Find,3.991666666666666
63,BFI,Pinocchio,2.782344276094276
64,BFI,Rise,2.7539559300390266
65,BFI,Seasons,2.901098714645664
66,BFI,The Little Mermaid,2.3095703125
67,BFI,The Strays,2.875
68,BFI,Peter Pan & Wendy,2.5779220779220777
69,BFI,Your Place or Mine,3.038351347726348
70,BFI,Village,2.7293711328993586
71,BFI,Weathering,3.336805555555556
72,BFI,World's Best,3.7916666666666665
73,BFI,You People,2.86347123015873
74,BFI,Nyad,2.771428571428572
75,BFI,True Spirit,2.8039772727272725
76,BFI,Troll,2.460119047619048
77,BFI,Strange World,2.4596861471861478
78,BFI,Turning Red,2.916666666666667
79,BFI,Nowhere,2.8568272005772006
80,BFI,The Kitchen,2.651136363636364
81,BFI,May December,3.192517006802721
82,BFI,Fair Play,3.613636363636364
83,BFI,65,3.338966769630832
84,BFI,Haunted Mansion,2.5
85,BFI,Ballerina,3.0671296296296293
86,BFI,Cash,2.549896284271284
87,BFI,Elemental,2.682272727272728
88,BFI,Faraway,1.9583333333333333
89,BFI,Furies,2.5
90,BFI,Accused,3.1666666666666665
91,BFI,Love Is in the Air,3.125
92,BFI,AKA,2.7714589775304064
93,BFI,Leo,3.0532531415343915
94,BFI,Lightyear,3.125
95,BFI,Like & Share,2.738095238095238
96,BFI,Love at First Sight,3.34375
97,BFI,Hidden Strike,2.5277777777777777
98,BFI,Maestro,3.007611101361101
99,BFI,Noise,3.1791666666666667
100,BFI,Kal,2.5
101,BFI,Hunger,3.148944805194805
102,CenayangFilm,Run Rabbit Run,3.234375
103,CenayangFilm,Seasons,2.6522148651960684
104,CenayangFilm,Shutter Island,2.0625
105,CenayangFilm,Sinister 2,2.5
106,CenayangFilm,Snowden,2.5
107,CenayangFilm,Snowpiercer,2.53125
108,CenayangFilm,Solo: A Star Wars Story,3.09375
109,CenayangFilm,Star Trek,3.045454545454546
110,CenayangFilm,Spider-Man 3,3.294642857142857
111,CenayangFilm,Superman Returns,2.817857142857143
112,CenayangFilm,Surga Yang Tak Dirindukan,3.875
113,CenayangFilm,"Ruby Gillman, Teenage Kraken",3.28125
114,CenayangFilm,Meter,2.446759259259259
115,CenayangFilm,Tanda Tanya,2.4375
116,CenayangFilm,Spider-Man: Into the Spider-Verse,4.5
117,CenayangFilm,Spenser Confidential,2.35
118,CenayangFilm,Paranormal Activity,3.4375
119,CenayangFilm,Tarung Sarung,2.8375
120,CenayangFilm,My Stupid Boss,1.7291666666666663
121,CenayangFilm,Nightcrawler,2.9375
122,CenayangFilm,Noise,2.03125
123,CenayangFilm,Olympus Has Fallen,3.1666666666666665
124,CenayangFilm,One More Time,3.5625
125,CenayangFilm,Over the Moon,3.3125
126,CenayangFilm,Reptile,2.5
127,CenayangFilm,Real Steel,3.5
128,CenayangFilm,Para Betina Pengikut Iblis,4.0
129,CenayangFilm,Peter Pan & Wendy,1.25
130,CenayangFilm,Pineapple Express,1.875
131,CenayangFilm,Pinocchio,3.2433712121212124
132,CenayangFilm,Project Power,3.0458333333333334
133,CenayangFilm,Puisi Cinta yang Membunuh,3.458333333333333
134,CenayangFilm,Qorin,2.7001262626262625
135,CenayangFilm,Murder Mystery 2,2.5
136,CenayangFilm,Paradise,2.615892650462963
137,CenayangFilm,The Babysitter,3.125
138,CenayangFilm,The Murderer,2.013888888888889
139,CenayangFilm,The Big 4,2.578888888888889
140,CenayangFilm,Troll,4.25
141,CenayangFilm,Turning Red,2.842766203703704
142,CenayangFilm,Twilight,2.458333333333333
143,CenayangFilm,The Willoughbys,2.821428571428571
144,CenayangFilm,Village,2.166666666666667
145,CenayangFilm,Weathering,2.4479166666666665
146,CenayangFilm,Uncut Gems,2.055555555555556
147,CenayangFilm,What If,2.8767592592592592
148,CenayangFilm,Wind River,3.34375
149,CenayangFilm,Young Adult,2.6666666666666665
150,CenayangFilm,Your Place or Mine,2.5
151,CenayangFilm,Zodiac,3.208333333333333
152,CenayangFilm,Zombieland,3.275742115027829
153,CenayangFilm,Moxie,3.988095238095238
154,CenayangFilm,The Little Mermaid,2.484740433177933
155,CenayangFilm,The Two Popes,3.725
156,CenayangFilm,Triple Frontier,3.0
157,CenayangFilm,The White Tiger,3.1875
158,CenayangFilm,The Ballad of Buster Scruggs,2.0625
159,CenayangFilm,The Break-Up,2.625
160,CenayangFilm,The Call,0.4999999999999999
161,CenayangFilm,The Conjuring,2.648809523809524
162,CenayangFilm,The Conjuring 2,2.25
163,CenayangFilm,The Croods,2.7954545454545454
164,CenayangFilm,The Da Vinci Code,2.5
165,CenayangFilm,The Highwaymen,2.375
166,CenayangFilm,Rise,2.466761363636364
167,CenayangFilm,The Interview,3.75
168,CenayangFilm,The Princess and the Frog,3.4722222222222223
169,CenayangFilm,The Pursuit of Happyness,2.5
170,CenayangFilm,The Social Dilemma,2.783333333333333
171,CenayangFilm,The Irishman,3.375
172,CenayangFilm,The Social Network,2.5277777777777777
173,CenayangFilm,The Super Mario Bros. Movie,3.201388888888889
174,CenayangFilm,The Trial of the Chicago 7,2.7875
175,CenayangFilm,The Night Clerk,2.75
176,CenayangFilm,The Pale Blue Eye,2.658333333333333
177,CenayangFilm,Maestro,3.40625
178,CenayangFilm,Long Shot,2.458333333333333
179,CenayangFilm,Death Note,2.75
180,CenayangFilm,Dilan 1990,3.9375
181,CenayangFilm,Dilan 1991,2.2
182,CenayangFilm,Disenchanted,3.538888888888889
183,CenayangFilm,El Camino: A Breaking Bad Movie,0.7500000000000004
184,CenayangFilm,Elemental,2.7010232192050374
185,CenayangFilm,Crimson Peak,2.083333333333333
186,CenayangFilm,Final Destination 3,3.3125
187,CenayangFilm,Friday the 13th,1.975
188,CenayangFilm,Geez & Ann,2.95
189,CenayangFilm,Generasi 90an: Melankolia,2.0250000000000004
190,CenayangFilm,Ghost Rider,1.4305555555555554
191,CenayangFilm,Gita Cinta dari SMA,2.9357357804232804
192,CenayangFilm,Green Lantern,2.375
193,CenayangFilm,Cross the Line,3.446428571428571
194,CenayangFilm,Dear David,2.906299603174603
195,CenayangFilm,Clash of the Titans,3.0416666666666665
196,CenayangFilm,Gunpowder Milkshake,2.5
197,CenayangFilm,Ballerina,2.7094907407407405
198,CenayangFilm,Lost Girls,3.0546875
199,CenayangFilm,3 Idiots,2.25
